姓,名,家庭手机,工作手机
新盛酒店,,08723120897,
金泉宾馆,,08723360161,15096959568
祥云别苑精品酒店,,08723354888,13529722137
康辉酒店,,08723122889,3126288
金源酒店,,08723125476,13987292262
天缘宾馆,,13988519226,
福帝公寓,,08723128919,
朋来宾馆,,08723123997,
云天客栈,,08723122251,
瑞祥旅馆,,08723123940,18087293937
大克主题酒店,,08723995088,15894528562
锦华商务酒店,,08723116888,
凯云商务酒店,,08723126998,
龙翔酒店,,08723131519,
皇嘉酒店,,08723996999,
高新大酒店,,08723121388,
凯祥大酒店,,08723128699,
澜景湾酒店,,08723122222,
云之尚主题酒店（祥云店）,,08723138777,
好丽酒店,,08723995555,
尚客优骏怡连锁酒店（大理祥云彩云路店）,,08723123399,
祥林酒店,,08723133399,
清莲饭店,,08723165198,
好来酒店,,08723129871,
宇森商务酒店,,08723128818,
悦隆酒店,,08723120991,13577863040
玉林酒店,,08723384666,
三里园客栈,,08723124298,
群峰酒店,,08723062333,
融钰宾馆,,08723131328,13988544282
超越宾馆,,08723994100,15908723190
金泰旅馆,,15125228549,
艾尚酒店,,08723970668,
舒馨宾馆,,08723996118,
佳缘宾馆,,13887224275,
桂源商务酒店,,08723121882,
兴萍公寓,,08723130888,13378728888
路人酒店,,18760959115,15911225313
神洲大酒店,,08723118666,3118616
清红宾馆,,13887243548,
云信宾馆,,08723129888,
梦想酒店,,15750213852,
云侨宾馆,,08723122815,15208724861
裕麟宾馆,,08723126811,15894502334
富达大酒店,,08723129808,
云鑫酒店,,08723134768,
盛园客栈,,08723128716,13987280246
万豪宾馆,,13508729942,
清龙酒店,,08723118999,13887296578
汤记客栈,,13577227280,
如归客栈,,13987250471,
好运酒店,,08723122431,
开源酒店,,08723120706,
和顺宾馆,,08723124877,
天悦宾馆,,15125057277,
万发大酒店,,18887217996,13031194444
振兴大酒店,,08723133366,3133377
祥志寶宾馆,,08723123299,13648729509
清纡宾馆,,15877769632,
茂元大酒店,,08723129288,
成利旅馆,,08723125016,15198924265
雅心宾馆,,08723119849,
滇祥宾馆,,08723995389,15187244581
君豪商务酒店,,08723996869,
艳阳栈,,15125011580,
锦辉宾馆（县医院店）,,08723134574,18206952094
威伦酒店,,08723994777,13987271721
云尚快捷酒店,,08723996993,13887298766
方通酒店,,08723119909,
格调主主题酒店,,08723310999,
三合酒店,,08723133277,
龙源大酒店,,13708646432,
岩峰宾馆,,13368726888,
兴盛公寓,,08723123475,
春之歌客栈,,13577886162,
宏宇大酒店,,08723351888,3331888
茂恒酒店,,08723119955,3123555
春江楼,,08723117333,
和平公寓,,15911244537,
蕊丽宾馆,,08723994639,
老牌坊宾馆,,08723119575,
祥泰旅社,,08723115696,
有家客栈,,087218760910,18760910242
龙瑞宾馆,,08723128388,
知博宾馆,,08723133558,
祥云宾馆,,09417126655,
隆源宾馆,,08723360139,
蕊华宾馆,,08723128363,
星星旅社,,15912631397,
一品源泉,,08723997744,
乘龙旅馆,,08723319655,
源生酒店,,08723334888,
山珍园酒店,,08723132988,
红煜缘饭店,,13988587824,
知香大酒店,,08723129599,
鑫平宾馆,,08723125281,
旺达客栈,,13887243770,
鑫利宾馆,,08723125468,
旺源宾馆,,18687258341,
源通客栈,,08723119189,13988576841
聚贤园客栈,,18788506542,
民兴宾馆,,08723132554,
鑫源宾馆,,08723994833,15187234099
瑞吉商务酒店,,13708646854,
鹏腾花园酒店,,08723995555,
建祥旅馆,,13388721230,
新亚宾馆,,13508729942,15208725862
祥路达宾馆,,08723120988,3995709
颐馨宾馆,,08723996358,
小菜一碟餐馆客房部,,08723118394,
香水城招待所,,13577863729,
佰亿酒店,,08723126823,
金鼎宾馆,,08723128633,
客来居,,08723131969,
康宝宾馆,,08723126899,
祥云佳源酒店,,13097499369,
鹏祥公寓,,08723132588,
鸿泰酒店,,08723116556,
黑山羊酒店,,08723121926,
君悦宾馆,,08723125592,
方达宾馆,,08723125881,
甲乙酒店,,08723120898,
陆路缘宾馆,,08723126449,
华意宾馆,,08723128429,
光洋宾馆,,08723121777,
宝丽金酒店,,08723116708,
云川客栈,,08723125217,
永达宾馆,,08723124871,
金玉酒店,,08723997078,
