姓,名,家庭手机,工作手机
国贸大酒店,,02938008699,38008688
龙袁庭院,,18717213062,
爱琴海宾馆,,13649108879,
月光岛酒店（世纪大道店）,,02932000333,
三林快捷酒店,,02937293888,
北槐温泉招待所,,15279899209,18082262650
舒雅出租屋,,18049015890,15399483859
利源宾馆,,02934966008,
祥乐招待所,,02933223112,
天宇宾馆,,02933281227,
华电招待所,,13891096388,
启迪科技会展酒店,,02933191999,
凯博宾馆（西安咸阳国际机场店）,,02933116418,13335404959
心连心招待所,,15529202017,
嘉雯招待所,,02933544944,15399240582
新泉招待所,,18791902029,
馨雅宾馆,,02935526668,
知青招待所,,13772587090,13379406263
玲利宾馆,,02938100140,
华福招待所,,15399238906,
百盛祥招待所,,18991049586,
云翔宾馆,,02938155811,
快捷公寓,,18149181900,15353141471
昊翔宾馆,,13892048640,
会仙居快捷酒店,,02933569966,
光宇快捷酒店,,02938018623,
恒盛宾馆,,02932036699,
庆大宾馆,,02933212215,
伊馨快捷酒店,,02933767165,
爱尚酒店,,02933662299,
天骋快捷酒店,,02933695105,
客来宾馆,,13186261030,
碧源一号快捷酒店,,02938990333,
咸阳机场蜂巢酒店,,02968886888,
驿旅阳光客栈,,17791020594,
金杨萍宾馆,,02933558216,
空港快捷酒店（西港云溪店）,,02988798771,88798767
回家商务宾馆（西安咸阳国际机场店）,,13992097160,13992097130
福瑞宾馆（西安咸阳国际机场店）,,02933120732,18142311770
天天商务宾馆（西安咸阳国际机场店）,,18182512613,18182512631
二印快捷酒店,,02933773330,
雷刚龙商务宾馆,,18991049352,18991049351
怡心时尚宾馆,,13572788862,
天海商务酒店,,02938001111,
軍豪酒店,,02937122999,
航天宾馆（西安咸阳国际机场店）,,02933115019,13310906503
梦缘招待所,,02933756965,18992089368
平人商务宾馆,,02933542952,
新缘快捷酒店,,02938101003,15129783868
长禄宾馆,,02937123111,13992082206
惠宾楼宾馆,,02934922564,13484869883
爱琴海快捷酒店,,02938265555,
天宇商务酒店,,02938319999,
华都商务宾馆,,02937123566,13892929319
王子快捷酒店,,02935611999,
华兴快捷酒店,,02932251488,
会朋快捷酒店,,17789186561,
明悦招待所,,02933768564,18992085179
佳悦宾馆（西安咸阳国际机场店）,,13759704113,
裕全宾馆,,15991003211,
平陵宾馆,,02933115861,15191025532
宜居宾馆（咸阳国际机场店）,,13649182600,18089135637
室雅兰香快捷酒店（咸阳国际机场店）,,15384608187,
煜欣商务宾馆,,02936530666,
温馨缘梦阁,,18092186239,
君逸城市酒店,,02935964777,
太美音乐客栈,,02938012050,15596476006
滨河商务酒店,,02938012333,38012288
秦永宾馆,,15509102667,
枫尚酒店,,02933757522,
凯悦快捷宾馆,,02935525309,
骏豪商务酒店,,02932253888,
运通商务酒店,,02938020000,33415555
爱睿尔时尚酒店,,02938829999,
悦来酒店,,02933661999,
莱美城市假日酒店,,02932022888,32880088
明珠快捷酒店,,02932063333,
怡和宾馆,,02933171958,
天禧酒店,,02933242123,
大明园商务宾馆,,02938158777,
亿诚豪都酒店,,02932286999,
壹家酒店,,02933750555,
凯迪快捷酒店,,02935861555,15929201888
嘉伟酒店,,02933213222,33229992
雅圣商务酒店,,02933263299,
8090时尚宾馆,,17389105637,
鸿升宾馆,,02938677123,
腾源宾馆,,02932275556,
金柳湾公寓,,02936220456,
雅居酒店（陈阳寨店）,,02986690339,18089112205
云锦园宾馆,,02933289999,
来这儿快捷宾馆（西安咸阳机场店）,,02933112506,17789161903
秦通宾馆,,02938165050,
沐春园宾馆,,02933115730,13468536289
京华商务酒店,,02938182777,
北平宾馆,,02932271139,
佳缘小宾馆,,13720700826,
馨居酒店,,02933192222,
伟博商务宾馆（咸阳机场店）,,02933129511,17729515662
佳屿宾馆,,02984070808,18792874455
新好望角大酒店,,02938015999,32837678
九凤凰宾馆,,02934862382,
亿家商务宾馆（西咸国际机场店）,,02933115359,18089156679
金苑商务宾馆,,02933635206,
九天快捷酒店（西安咸阳国际机场店）,,02933631115,18791074046
美途商务酒店,,13369117884,
新城商务酒店（咸阳国际机场店）,,18791947220,
舒馨商务宾馆（ 咸阳机场店）,,17762131045,
佳泽商务酒店（咸阳机场店）,,02933116164,15394108597
海空商务宾馆（西安咸阳机场店）,,18091796372,
长乐商务宾馆（机场店）,,17789181151,
航宇商务酒店（西安咸阳国际机场店）,,02933111575,18082268272
派酒店（杨凌公园路店）,,02962761110,87014444
煜铭宾馆,,02934633567,18717245622
昭阳宾馆,,13468822900,13649183110
鑫旺公寓,,13659106284,13636730029
皇冠主题酒店,,13891485751,18717223202
芙蓉宾馆,,02933117957,18395453917
金诚客房,,02933759678,15091006266
科逸连锁酒店,,02938758999,
八零九零商务快捷酒店,,02938822788,38908090
天一快捷客栈,,02935967111,
华庭快捷酒店,,02938115678,
红叶宾馆（西安咸阳国际机场店）,,02933114569,
思阳商务宾馆（西咸机场店）,,17729515579,13484569273
万事达宾馆（咸阳机场店）,,02933110929,13991016079
金泰招待所,,15991849092,
迎宾商务宾馆,,02933734616,
7天连锁酒店（咸阳电影院十字中心广场店）,,02933258000,33254000
向日葵时尚宾馆,,02933546389,
田园商务酒店,,02938822999,
三原汉莎快捷酒店,,02938911000,
星期天时尚酒店,,02938455555,
龙城商务酒店,,02937555555,
天合快捷酒店,,02933663355,
景濠酒店,,02987076555,62761666
阳光主题酒店,,02938001000,32831111
昭陵饭店,,02935633519,
摩玛水晶酒店,,02938190000,
蜜思酒店,,02933572525,
七色主题青年宾馆,,02933684987,
东方快捷酒店,,02937299029,
皇家祥宾馆（西安咸阳国际机场店）,,02933113853,
阳光快捷宾馆,,02934203953,18690072638
喜来乐商务宾馆（西安咸阳机场店）,,02933126887,18220053612
月光岛时尚宾馆（人民路店）,,02932881888,
建国宾馆,,02932998888,
雅园酒店,,02933113389,
凯尔圣花园酒店,,02932037701,32037702
空港新城家豪酒店,,18740502938,
锦欣酒店,,02933696633,
迷你快捷酒店,,02938978999,13572787222
简爱主题酒店,,02938836664,
亿澜宾馆,,02932288218,
金科苑温泉酒店,,02938016456,
爆米花影院酒店,,02933330369,33330069
天和商务宾馆（海航基地店）,,02933127877,
袁家村嵕山田居主题客栈,,18502926285,
佳朋宾馆,,02933113876,18191942781
福源宾馆（西安咸阳国际机场店）,,15929219657,
梓豪快捷酒店（咸阳国际机场店）,,13891485751,18717223202
方圆商务酒店（西安咸阳国际机场店）,,02933630358,
方圆宾馆（西咸机场店）,,02933117387,18142309297
舒然快捷酒店（西安咸阳国际机场店）,,02933111093,17729514891
金色假日酒店,,02938975555,38978106
圣杰宾馆,,02933632263,13571004899
如轩商务宾馆（咸阳机场店）,,18064361701,
三元商务酒店,,02935368777,
世家宾馆,,02933120813,15389104891
商贸宾馆,,02934922158,
金苹果商务酒店,,02937176888,18681987897
怡嘉快捷宾馆,,02934291111,
依凡时尚快捷酒店,,02933159021,33285059
T2航站楼宾馆,,02988798666,
红杉树宾馆,,02933125938,18182548859
厄洛斯主题酒店,,02933276789,
莱富客快捷酒店（团结路店）,,02933283388,
莱富客快捷酒店（人民路店）,,02933198888,
紫庭宾馆（西安咸阳机场店）,,02933129498,
锦华酒店,,13369109520,
时代王朝大酒店,,02938160000,
摩玛酒店（世纪店）,,02933679999,32039999
泊星位宾馆（咸阳机场店）,,02933736311,
爱唯欣主题酒店（西安咸阳国际机场）,,02933129680,13891095237
上古真方青年旅社,,15596784314,13992068011
润8商务酒店（咸阳机场店）,,02933119283,15332202926
宁泽商务宾馆（西安咸阳国际机场店）,,02933631425,18089159389
梦之蓝假日酒店,,02933128078,
