姓,名,家庭手机,工作手机
大唐宾馆（佛珠街店）,,05947760996,
福中福宾馆,,05947395555,8612222
振枫宾馆,,05947651966,
榜头宾馆,,05947787799,
668公寓,,05946736666,
和佳宾馆,,05948166699,8162233
锦珠宾馆,,05947719111,
奇茂旅馆,,17759023638,
平安宾馆,,05947791210,
安逸186酒店,,05946708333,
世源商务宾馆,,05948199555,
南丰宾馆,,05948853366,18959535897
华中宾馆,,05947769555,
公元宾馆,,05947691866,6975000
好客来酒店,,05948259333,
豪华公寓,,05948261635,13030811636
龙之梦宾馆,,05947752333,
天天商务宾馆,,05948165666,
新宇宾馆,,05948196999,
玖玖商务宾馆,,05948853999,
阳光商务宾馆,,05948256999,
满天星商务酒店,,05947978777,
艾里酒店,,05946882288,
新天地酒店（汽车站店）,,05946907666,
乐家农家乐,,05948050777,13706077166
兰凌快捷酒店,,05946889900,
艺家商务宾馆,,05947718800,
红馆宾馆,,05948556669,
帝豪滨城住宿,,05947888288,
威斯顿酒店,,05948591888,
意达商务酒店,,05946235678,8591999
天华宾馆,,05946239666,13566735998
鲤南酒店,,05946203333,
荔谱宾馆,,05947681398,18120981398
格兰商务酒店,,05946611999,
鑫鼎影视公寓,,05947881888,
皇冠酒店,,05948678666,18150295000
速8酒店（莆田仙游海宏鲤城广场店）,,05948590999,
鑫泰商务酒店,,05947886777,
王朝财富酒店,,05947282888,
大地京闽酒店,,05948358888,
宾悦酒店,,05948169888,18760556777
五新主题宾馆,,05947655686,18396071977
南大宾馆,,05948281381,
金泰来酒店,,05948160888,
兰凌宾馆,,05948889900,8188333
凤凰商务酒店,,05948251688,13003855788
汉庭（莆田仙游店）,,05948161111,
黄金假日商务酒店,,05948168666,
云庭精品酒店,,05947969777,18060321110
汉庭商务酒店,,05947990999,
锦江大酒店,,05947659999,
仙游华侨大酒店,,05946222222,
鲤中酒店,,05948271677,
财富皇庭酒店,,05946898888,
兰溪宾馆,,05948588666,
佳家公寓,,05948188222,7963966
仙游宾馆,,05948589888,
锦江商务客房,,05947886666,
远大富莱酒店,,05948067888,18950707199
鸿都宾馆,,05947698333,7893456
旺旺宾馆,,05946728755,
木兰快捷酒店,,05948183888,
仙游大酒店,,05948588888,
白云山庄（榜头店）,,05947785502,
三和宾馆（园滨东路店）,,05948896677,
滨海宾馆,,05947500888,5229888
荣豪精品酒店,,05948166555,
悦华大酒店（城南东路店）,,05946201111,
恒盛宾馆,,05947698199,
天缘豪庭大酒店,,05947379988,
新联想宾馆,,05947689288,
永福旅馆,,05948290880,
百福宾馆,,05947891122,18005949951
枫亭理想宾馆,,05947659555,
皇嘉宾馆,,05947685999,
鑫煌商务宾馆,,05948599370,
怡丰宾馆,,05948080555,
荣盛宾馆,,05948253188,
万客来宾馆,,05947711111,
爱家便捷酒店（水文站店）,,05948088799,8088766
时尚公寓（鲤西路店）,,05948183777,
唯客公寓（龙仙路店）,,05948060555,7500666
会仙宾馆,,05948252999,
兰庭商务宾馆,,05948253777,
东南红商务酒店,,05947281111,
亿豪大酒店,,05947096777,
咏福旅馆,,05948290880,
苏杭宾馆,,05948259977,
时尚公寓玉石汗蒸养身馆,,05948183777,
南桥旅馆,,05947888188,
景都宾馆,,400833-6699,
旷宇商务酒店,,05948053333,
聚龙山庄,,13959512308,
群英宾馆,,05948673399,
加州商务酒店,,05948826888,
鸿冠商务宾馆,,05947539555,
名古居,,18505946123,
天作之艺,,05946203286,15860056286
五新旅馆,,05947655686,
三英旅馆,,05947759222,
八二五旅馆,,400833-6699,
康来假日旅馆,,13706057869,
艺都宾馆,,05947199333,
东方宾馆,,05948888567,
鲤城宾馆,,05948258666,400833-6699
九鲤宾馆,,05948259866,8256866
城南宾馆,,400833-6699,
龙宫宾馆,,400833-6699,
恒丰商务宾馆,,05948056777,
和谐宾馆,,05948186789,
九龙谷森林公园度假酒店,,13305910792,
东南宾馆（鲤洪街店）,,05948629555,
德信宾馆,,05948186789,
山中好运来宾馆,,05947368888,
南边宾馆,,05948588669,
金太阳宾馆,,05948251688,
桃源旅馆,,05948259511,400833-6699
南方宾馆,,05948851166,
新城宾馆,,400833-6699,
顺家公寓,,05948682555,
华都宾馆,,05946096666,8255577
凯悦宾馆,,05948256888,
南门旅馆,,05948588669,
盼盼宾馆,,05947795722,
张记旅馆,,400833-6699,
佳星宾馆,,05948258666,
龙仙宾馆,,05948253999,
朋来客栈,,400833-6699,
888公寓,,18760516681,
玖8酒店,,05947361688,
陶缘宾馆,,400833-6699,
109旅馆,,05948255159,400833-6699
仙觉旅馆,,05948293461,
春枫宾馆,,05947698681,
天兴宾馆,,15892062014,
临安旅馆,,05948298459,
君悦宾馆,,05948295777,
新华宾馆,,05948196999,
平安住宿,,059418950723,10106666
联想宾馆,,05947655558,
长城宾馆,,05948281199,
枫林宾馆,,05947675225,
车站宾馆,,13599492753,
佳华宾馆,,05948258666,
九鲤湖九鲤蓬莱山庄,,05947292236,7291886
108旅馆,,05946765766,400833-6699
悦来宾馆,,400833-6699,
利游旅馆,,05948262052,400833-6699
家宾公寓,,05948166699,
金源大酒店,,05946733666,
南门佳佳宾馆,,05946235222,
新世纪宾馆,,05947660228,
蓝天宾馆,,05948399268,
同福宾馆,,05948599338,400833-6699
