姓,名,家庭手机,工作手机
宋府鹊之恋主题酒店,,03942257888,
嘉泰商务宾馆,,03942577888,
卡卡主题宾馆,,03942105222,
富安大酒店,,03942128999,
龙庭快捷酒店,,03942299222,
星海名都国际会所,,03942227999,
锦江快捷酒店,,03942208666,2208999
西华县东方格林宾馆,,03948798110,18538676226
星辰快捷宾馆,,03942561088,13938057577
米拉艺术酒店,,03948791198,
金都宾馆,,03948795859,
容悦商务酒店,,03942255666,
宜居宾馆,,03942230666,
宋府商务会所,,03942333333,
佰纳商务酒店,,03942345677,
阳光主题宾馆,,03942568866,2588866
蓝天温声宾馆,,03942385888,
新时代宾馆,,03942366688,
美高美酒店,,03942121219,
星程酒店,,03942328888,18603770390
乾丰快捷酒店,,03942556666,
阳光宾馆,,13525718217,
如意宾馆,,13526233173,
尚都商务酒店,,03948792999,
七彩香格里拉商务酒店,,03942567999,
嘉和商务酒店,,03942237888,
鑫源宾馆,,03947883107,13673876566
鑫源宾馆,,13938082333,
温哥华洗浴会所,,03942387777,
白兰宾馆,,03942551957,13633946377
中州时尚酒店,,15836254675,
葡京驿站,,03948991666,
华诚宾馆,,03942262888,
锦欣商务酒店,,03947981899,15896752897
富华宾馆,,15539406866,
家乐商务酒店,,03942238666,
锦源宾馆（西华店）,,03942266777,
紫金城商务宾馆（西漯路店）,,03942329999,
水立方动漫水世界（客房部）,,03942530739,
美宜家宾馆西华店,,03942283999,
周口万秀泉温泉洗浴酒店,,03942368888,
开元商务宾馆,,03948795118,
锦江花园快捷酒店,,03942205888,
速8宾馆,,03943757999,3757666
金华宾馆,,03942551826,
福源宾馆,,13592245625,
昕焰宾馆,,15738648742,15993223429
西半城快捷宾馆,,03942556666,
一家心酒店,,15738623250,
干校宾馆,,15518176797,
西华御园洗浴会所（客房部）,,03948799222,
百味精品酒店,,18537313637,
西华迎宾馆,,03942552600,2366666
金利宾馆,,03942553973,
金龙宾馆,,03942545069,
信阳红大酒店,,03942280999,
家兴宾馆,,03942536333,
林城宾馆,,03942553092,
紫鑫宾馆,,03948791888,
宏盛楼宾馆,,03942222888,
锦绣宾馆（长平路店）,,03942107996,
珠晖宾馆,,03942553046,13803940359
帝豪商务会所,,03942325888,
友谊宾馆,,13849464764,
温馨宾馆,,03942297776,
欣心宾馆,,039413525721,13525721113
金山宾馆,,15893648566,
恒顺宾馆,,03942552668,
怡君宾馆,,03942546062,
东旭宾馆,,03942531930,
轩豪会所,,03942533856,
中原宾馆（长平路店）,,15664341906,
家馨宾馆,,03942556366,
金地宾馆,,03947885918,
金豪商务宾馆,,03942551026,
凯旋宾馆,,03942550992,
