姓,名,家庭手机,工作手机
华达旅馆,,05387338311,15169868891
龙门客栈,,15866008309,
馨悦宾馆（新兴路店）,,15254830688,
金泉宾馆,,18763855884,
钰安商务宾馆,,05387220956,
阳光嘉苑宾馆,,05387222170,
明金珠宾馆,,05386372333,13853818450
鸿福宾馆,,05387977775,
安心商务宾馆,,05385376899,
胜家时尚宾馆,,05387777128,
佳佳宾馆,,05387262768,
站东宾馆,,05386320491,
居家宾馆,,05387223828,
优客宾馆,,13954837788,
溢香斋大酒店,,05387225024,
鑫悦宾馆,,13854856628,
国泰宾馆,,05387103508,
千里马假日酒店,,05387777369,
青年快捷宾馆,,05387260111,5083222
永鑫源宾馆,,05387062222,
果果商务宾馆,,15153847118,
虹桥快捷酒店,,05382177279,
汶阳春商务宾馆,,05387210888,
顺达商务宾馆,,05387642678,
新雅大酒店（客房部）,,05387078887,
安泰宾馆,,05387869758,
帝都商务宾馆,,05387763201,
齐鲁明珠连锁酒店,,05386371333,
零点快捷宾馆,,05387330133,
鲁科八八连锁酒店,,05385083888,
新泰宾馆,,05387267888,7230999
怡心园生态酒店,,05387712077,
五星假日酒店,,05387928888,7261688
金穗大酒店,,05387267777,7267666
金聚德商务宾馆,,18766652567,
都市花园精品主题连锁酒店,,05387718888,
如家快捷酒店（泰安新泰金斗路店）,,05387911888,
顺择商务宾馆,,05387758521,
新泰市青云街道儒家宾馆,,05387777177,
杞都宾馆,,05387260001,7260008
祥泰商务宾馆,,05387262999,
富华商务宾馆,,13583826768,
瑞田宾馆,,05387222918,
彩印厂商务宾馆,,13645488881,
家悦宾馆,,13792129507,
华联宾馆,,05387839467,
尚客宾馆,,05387876999,
新安宾馆,,18353811417,
豪庭商务宾馆,,05387777775,
金山商务宾馆,,15550866689,
雅居宾馆,,05385087888,
福元宾馆,,05387261808,
金山宾馆,,15315297788,
锦珏精品酒店,,05387778666,
银座佳驿（泰安新泰金斗路店）,,05386376111,
金梦源宾馆,,05387333302,
圆信宾馆,,13854838780,
新泰市西张庄镇格林商务宾馆,,13562849555,
惠达宾馆,,18853896777,
银洲快捷酒店,,05387229356,
开发区职工餐厅（客房部）,,05387105666,
颐和商务酒店,,05387633333,
东鑫宾馆,,05386329166,15263091116
宏仓假日宾馆,,05387777755,
舒馨宾馆,,05387223388,
汶南大厦商务宾馆,,05387715999,
泰安市青云街道布丁酒店,,05387210888,
速八连锁酒店,,05386329555,18253830222
银都宾馆,,18354807555,13792124151
索菲亚大酒店（党校店）,,05387050777,
蓝色商务宾馆,,05387263666,
泰安华兴物业管理有限公司接待中心,,05387842161,
兰馨商务宾馆,,05385376899,
都市18连锁酒店（新汶大街店）,,05386326222,
鑫亿宾馆,,13954855451,18705386429
金座商务宾馆,,05387263666,
铁道宾馆,,05387308888,
刘和恒丰大酒店,,05385087777,5087888
盛世莲花大酒店,,05387778888,
蓝天商务宾馆（青龙路店）,,05387227795,18364801332
永安大酒店,,05387777126,
金轩商务宾馆,,05387872010,13375628220
新东方宾馆,,053872235555,
鲁新宾馆,,05386320393,
佰特利宾馆,,15253863423,
如意宾馆,,05388888355,13465387598
飘流贵族宾馆,,05387223452,
金荣宾馆,,05382178045,13805487107
利峰快捷宾馆,,13905487836,
鸿运宾馆,,05387211918,
六间房商务宾馆（二店）,,05387777123,
牧原宾馆,,05387339986,13563835560
夜明珠连锁酒店（新泰青云路店）,,05385081222,7273222
烟台海鲜舫（客房部）,,05387223188,
开元商务宾馆,,13953897813,
元瑞宾馆,,15092804449,15105389532
祥和大酒店,,05387712998,18364804822
荣峰国际饭店,,05387299999,7295666
青云山庄,,05387057888,7057886
和盛商务宾馆,,05387230168,
77元商务宾馆,,05387212177,
新泰市汉庭宾馆有限公司,,05386371222,
六间房商务宾馆（一店）,,05387220188,7777123
金冠招待所,,05382179467,
荣峰大酒店,,05387226028,
新汶旅馆,,05382170439,
夜明珠别墅宾馆,,05385081222,
金鑫宾馆,,13583833638,
绿满家宾馆,,15853836883,
鸿泰宾馆,,15376227673,
白天鹅度假村,,05387061068,
天府山庄,,05387279731,
金温暖宾馆,,15376202599,
龙兴宾馆,,05387832914,
顺发宾馆,,15064190669,
德海商务宾馆,,05386328918,15069883818
好食好客快捷宾馆,,05387778859,13853867071
嘉庆旅店,,18364805858,
宏达宾馆,,05382177704,
华美旅社,,05387212662,
欧缦宾馆,,05386370787,
蔺风宾馆,,18053828058,
新丰润商务酒店,,05386325777,
启运宾馆,,18366651789,13196733333
长城宾馆,,05382179158,
石城大酒店,,05387912345,
兴城商务宾馆,,13954873735,
利宾大酒店,,05387228708,
新都宾馆,,13854877109,
丽云宾馆,,05387214668,
鸿润宾馆,,15275485911,
上海路宾馆,,05383214806,
嘉豪商务宾馆,,15998740888,
汇丰大酒店,,05387267777,
金霞宾馆,,18854852926,
开兴宾馆,,18254810880,
铭世嘉商务宾馆,,05387315988,
永泰酒店,,05387942372,
维多利亚宾馆,,13563839388,
德顺宾馆,,17686250602,
鑫源宾馆快餐,,05387912986,
东尊酒店,,05387217676,
佳信宾馆,,05385082567,
电业宾馆,,05387103508,
金慧宾馆,,05382175474,
怡家快捷宾馆,,05387220790,
兴岳饭店旅馆,,05387982272,
泰和商务宾馆,,13561758567,
旭东宾馆,,05382176240,
宿肥宾馆,,18264889562,
玉安宾馆,,05387220956,
星月宾馆,,13468031389,
龙翔宾馆,,13954814598,
宿吧宾馆,,18264889562,
清音农家院,,05387279211,
天天宾馆,,05382177198,
正阳宾馆,,13468019998,
海澜宾馆,,05387221106,
蓝月亮宾馆,,15253870978,
舒雅客栈,,18353883102,
新甫宾馆,,05387233379,
家园商务宾馆,,05387212715,
阳光商务宾馆,,13053835868,
憩园宾馆,,400833-6699,
福禧宾馆,,15253865318,
热电宾馆,,05386328046,
百度宾馆,,05387059345,
华丰宾馆,,053813953853,6906614
瑞祥商务宾馆,,05382176342,
源和旅店,,18364805858,
铭鼎宾馆,,13406227869,
正荣宾馆,,15998744040,
宏财宾馆,,05382176614,
聚丰宾馆,,053815065830,15065830778
熙春商务宾馆,,05387238318,
静雅宾馆,,13953829284,
剧院旅馆,,05387335746,
怡心园酒店,,05387228616,
佳盛宾馆,,05385379936,
龙源大酒店,,05387152256,
瑞阳宾馆,,05382177554,
福德商务宾馆,,05387228669,
金玉宾馆,,13056977696,
温馨旅馆,,05382178829,
啤酒厂招待所,,13954860638,
宝宾大酒店,,05387212198,
杞星宾馆,,13563819515,
