姓,名,家庭手机,工作手机
千金宾馆,,051688987178,15862136633
弘轩快捷宾馆,,051688990238,
金地宾馆,,13775879481,
瑞添宾馆,,051688998699,
悠悠客栈,,051669096588,
源华宾馆,,13814413398,
佳园宾馆,,051681629077,
宜水泊岸快捷酒店,,051688963888,
聚鑫宾馆（新新社区卫生服务站东店）,,13815336877,
鸿阳快捷宾馆,,051688066050,
梦都宾馆,,051688992916,
蓝色6+1精品酒店,,051688711111,
新新快捷宾馆,,18796307753,
成路快捷宾馆,,051688996977,
鸿韵商务宾馆,,051681622918,
鑫隆宾馆,,13952289321,
丽锦宾馆,,051688060118,
华源宾馆,,051688920682,
万达宾馆,,15298759997,
康俪宾馆,,051680328765,
中华宾馆,,051688927423,
通远宾馆,,051688990602,
兴商宾馆,,13814411289,
苏商客栈,,051688550788,
接驾宾馆,,051688957111,
景瑞快捷宾馆,,051681616688,
商城宾馆（南京路店）,,051688982355,18912019638
泰悦宾馆,,15996901055,
红苹果商务宾馆,,051681628555,15505152589
尚客优骏怡连锁酒店（新沂新安路店）,,051688929888,
华人堂大酒店,,051688840000,88664444
如意主题客房,,051688979666,
桔子主题宾馆,,051681606777,
尚客优快捷酒店（新沂建邺路店）,,051688897000,
京都宾馆,,13815321572,
运利宾馆,,051688980518,
路路旅社,,15365826318,
御景苑大酒店,,051688875555,81628999
华仁宾馆,,051688535666,13655221239
希尔顿宾馆,,18751764175,
甲天宾馆,,051688928155,
亚欧大酒店,,051688619999,
自由空间主题宾馆,,051680335856,
金盛门宾馆,,051688556866,18952283266
布丁酒店（徐州新沂公园路金桥国际店）,,051688921666,
龍舟驿,,051688668788,88668588
圣轩商务宾馆,,051688555111,
汉庭（徐州新沂南京路店）,,051681667777,
7天连锁酒店（徐州新沂市府路店）,,051680337777,
尚客优酒店（新沂南京路店）,,051681628666,
青皮树酒店（站前广场店）,,051688996998,
锦江之星（徐州新沂市政府店）,,051666612666,61881888
聚缘商务宾馆,,17772253927,
四季阳光快捷宾馆,,051680326888,
如泰宾馆,,15905225871,
约克精品酒店（钟吾路店）,,051681638888,88996038
山河家园宾馆,,051669096658,
远发大酒店,,051681629888,81629999
水晶酒店,,051688610888,
雨田精品酒店,,051688888883,
顺水人情宾馆,,051688558766,
乡村大酒店,,15162059990,17705200535
沭新宾馆,,15252290059,
石城精品客房,,18151800252,
锦丰宾馆,,18012046095,
汇鑫宾馆（南京路店）,,051681618968,
安立宾馆,,051688594444,
亨通快捷宾馆,,051688559855,
三晋别院,,051688556767,
如家快捷酒店（新沂火车站南京路店）,,051688707777-9,
舒服家快捷宾馆,,13775951547,
馨铭宾馆,,051688957189,
昭阳酒店,,13775958587,
银都商务宾馆,,051688899769,
易特快捷酒店,,051666615588,
奎泰新沂家私家公寓,,18361775397,
金陵快捷酒店,,051688677188,
金鑫宾馆,,18361572928,
通达宾馆,,051688923019,15298741234
广度茉莉宾馆,,051688872888,
现代宾馆,,051688922245,15252198789
苏果宾馆,,051681616996,15365826510
恒信商务宾馆,,13151213060,
金原宾馆,,051688899268,
来熏堂,,051688556550,
紫藤宾馆,,13151213060,
新华宾馆,,18251737150,
新成功大酒店,,051688952299,
海友酒店（新沂火车站店）,,051681628888,
车之汇网络宾馆,,051688978555,
舒惠宾馆,,13585373690,
梦之源快捷宾馆,,051688552666,
华丰宾馆（花厅路店）,,15366788474,
玉龙湾大酒店,,051688892999,13905225309
汇龙商务宾馆,,051669905108,
瑞丰国际酒店,,051688066666,
金穗大酒店,,051688657999,
丽江宾馆,,051688979559,
佳新商务宾馆,,051688978199,
车站宾馆,,13775959007,
五花山庄,,051688799999,
瑞晨商务宾馆,,051688679999,
和盛华侨饭店,,051688898983,88899999
假日之星宾馆,,051680188999,
凯瑞宾馆,,051688871338,
丰豪酒店,,15162086122,
山水名城大酒店,,051680322222,80323333
金客达时尚快捷宾馆,,051669902222,17768285093
苏商假日酒店,,051681632222,
紫田商务宾馆,,051688587777,
苏沂乐乡大酒店,,051688870888,
棋林商务宾馆,,051688677575,
亚星宾馆,,15052078337,
金钻国际酒店,,051688578888,
尚客优快捷酒店（徐州新沂大桥路店）,,051688929666,
沂铁宾馆,,051688993172,
新沂市玖拾元快捷宾馆,,051688931234,
格林豪泰商务酒店（新沂火车站店）,,051688676666,
恒盛大酒店（新华路店）,,051681627777,
烟花三月宾馆,,051688917996,
夫成大酒店,,051688522300,
嘉瑞商务宾馆,,13813258596,
瑞祥宾馆,,15990256417,
99快捷宾馆,,051688899366,
久隆宾馆,,051688950555,400833-6699
河东公寓（1店）,,18262206070,
蓉楼宾馆,,051688934040,
迎客宾馆,,051688916988,15365826590
灵通宾馆,,051688067265,
沭滨快捷宾馆,,15852299958,
好心情宾馆,,13395276507,
源新商务宾馆,,051688986921,
宜家快捷宾馆,,051688831895,13813251688
马陵山度假村,,051681612031,
状元楼酒店,,051688926666,
城市之家时尚宾馆,,051688997988,
君悦大酒店,,051681627915,
聚缘阁酒店,,13775870110,
正大宾馆,,051688652016,13775875016
连柱旅社,,15952280791,
食为先大酒店,,051688939821,
天工休闲假日宾馆,,15252196088,
东方红酒店,,13218585002,
祥宇宾馆,,051681613333,
金郁呈快捷宾馆,,051688523698,
丰富宾馆,,18361735368,
大力搏击健身俱乐部,,051688871559,13775959592
美恩彩妆婚纱馆,,15062065336,
银河宾馆,,15205223079,
前程宾馆,,18361776528,
天马宾馆,,13805229157,
利友旅馆,,051688839617,
富都宾馆,,13705225298,
朋来阁酒店,,051669902999,
昆仑宾馆,,051688052196,
富华宾馆,,051688983108,67892020
金万福宾馆,,051688551269,
华源快捷宾馆,,051688952611,
谊邻宾馆,,051688920579,
天翼国际酒店,,15050071000,
益民商务宾馆,,15852298875,
似家快捷宾馆,,051688951599,
LOOK路客（瓦窑店）,,18251587658,
新星旅馆,,15862298298,
迎宾旅馆,,15190708196,
凯达宾馆,,051688921819,
今世缘酒店,,15052075989,
仁和旅社,,13814419272,
春和宾馆,,051688785998,
东方大酒店,,15365863600,
农夫农家酒店,,15205224223,
新沂中兴快捷宾馆,,15162085088,
陵沭宾馆,,18752593850,
鼎远酒店,,15001897365,
尚客悠快捷宾馆,,051688828882,
水木阳光宾馆,,051688888896,
阳光宾馆,,051688739111,
天顺宾馆,,051688550078,
末中旅社,,051688581306,
孙杨宾馆,,051688067125,
聚贤宾馆,,051681610003,
一洲宾馆,,051688991058,
艺源宾馆,,051688930222,
汇源大酒店,,13775878998,
鑫都宾馆,,18762283918,
长生宾馆,,051682808038,
福隆商务宾馆,,051688555788,
鑫马宾馆,,13815336329,
君豪宾馆,,051688526006,
窑湾商务宾馆,,18061114832,
阳光旅社,,13775955803,
昊天网络宾馆,,051688061234,
汇源旅社,,15262179239,
加州宾馆,,051688988177,
天宇宾馆,,051688983437,
金广厦宾馆,,051688938831,
草桥网络宾馆,,051688522119,
荣华宾馆,,051680181188,
为民大酒店,,051688610999,
678酒食巨融商务酒店,,051688702666,
红苹果商务宾馆,,05168891316,
宇祥宾馆,,051688892800,
家缘旅社,,051688953200,
红杉树宾馆,,051688976816,
富贵缘宾馆,,051688975500,
万事家和宾馆,,051688059999,
苏杭大酒店,,051688556096,
国庆大酒店,,051688326558,88856685
宝来宾馆,,051688980398,
窑湾镇五星宾馆,,051688552898,
东方旅馆,,051681613538,
新天地宾馆,,051688066833,
恒安宾馆（钟吾路店）,,051688917998,88983688
金陵宾馆,,051682804478,
江南快捷宾馆,,051688989638,
鸿瑞旅社,,051688925620,
鸿训旅社,,051688927382,
再回首宾馆,,15952297318,
温馨宾馆,,051688958289,
家喻户晓主题酒店,,051688981688,
晨飞宾馆,,051688622078,
阳光快捷宾馆,,051688988337,
鑫隆快捷宾馆,,051688608999,
鑫源宾馆,,051688713886,
祥和酒店,,051688788887,
一中宾馆,,051688991058,
融通宾馆,,051688876788,
新城宾馆,,051688938501,
新沂市窑湾镇玉龙湾大酒店,,051688892999,
蓝天旅馆,,051688618618,
兴化酒店,,051688761820,
扬名酒店,,051688682980,
乡村酒店,,15996905072,
东盛宾馆,,13815325311,
顺成园宾馆,,051688053309,
恒大宾馆,,051688911886,
新如宾馆,,051688952711,
嘉年华大酒店,,051688551357,88552468
盛唐宾馆,,15996909988,
同成旅社,,051688923758,
润启商务宾馆,,15751039518,
长金宾馆,,051688611166,
富康商务宾馆,,18061114832,
天圆旅社,,051688066554,
新时代宾馆,,051688067125,
铁路公寓,,051688062211,
景悦大酒店,,051688840000,
铁信宾馆,,051688061419,15190719198
瑞民宾馆,,051688920388,18952283767
桃园宾馆,,051688067897,
恒泰旅社,,15366789953,
