姓,名,家庭手机,工作手机
徽杭古道快乐驿站,,18130291298,15968191399
徽杭古道明红农家乐,,15858218748,
微爱情侣公寓,,15357579777,
幸子宾馆,,05634175485,
皇佳宾馆,,05635022560,18326408690
杨山人家宾馆,,05634023069,13805625543
龙韵酒店,,18058816277,18130278667
永来山庄,,15168299631,
华新宾馆,,05636032288,
佰荷宾馆,,15956353047,
新河客栈,,13215631913,
新祥宾馆,,15005637444,
馨雅商务宾馆,,05638150058,
久润发旅店（广德店）,,05636976628,15956379022
新英雄岭宾馆,,05634133068,
静园宾馆,,05632168766,15956320818
锦宁宾馆,,05634013680,
月亮湾月星人家农家乐,,18056330677,13966194252
紫君宾馆,,05632821138,
扬帆宾馆,,05632161999,
康乐小宾馆,,05632138886,18326423531
中州商务宾馆,,05632023188,
日红客栈,,13329294018,
宁国南极溪水庄园农家乐,,15385459584,
新庆旅馆,,05632023510,
山里客栈,,15205635198,
金川商务宾馆,,05632212133,
川东宾馆（宣城）,,05635120257,
慧雅宾馆,,05633039118,
快捷城市宾馆,,05635265555,
瑞安宾馆,,05632831162,
隆川宾馆,,18056355428,
老地方客栈,,05634013400,
四方宾馆,,05633026074,13966185834
莉群宾馆,,05632831688,
鸿锦宾馆,,05638159166,
居家宾馆,,05635450031,18056331993
安谊快捷宾馆,,18756355819,
丽珍宾馆,,17756934110,
馨园宾馆,,15056333021,
幸福宾馆（中港路店）,,05637016758,
皇朝快捷宾馆,,05634113298,
欣辰宾馆,,05632171585,13865387118
凯悦客栈,,05638450365,
逸家快捷旅店,,05635297979,
宜佳宾馆,,05638023166,
盛世豪都商务酒店,,05632712222,
朗廷主题酒店,,05635212345,
丽园商务宾馆,,05636052388,
岁宫大酒店,,05632316789,7882397
红鑫园宾馆,,05635029984,18788818812
雅居宾馆,,18098525233,
汪溪滨江商务酒店,,05634452999,
雅苑宾馆（梅溪路店）,,05632710111,
广源商务宾馆,,05634800229,
诚意宾馆（文峰路店）,,05638162723,13965668088
168商务宾馆,,05636808168,
轩园宾馆,,13865301745,
沐林商务宾馆,,05636059788,
宣港宾馆,,05633022755,
馨悦商务宾馆（商贸中心店）,,05636989933,
鑫源宾馆（桃州南路店）,,13856383369,
亿诚商务宾馆,,05635262888,
好德商务宾馆,,05636977789,
东都宾馆（宛溪南路店）,,05632123999,
80&90时尚概念宾馆,,05635808090,
优家宾馆,,05632718703,
七维码假日宾馆,,05632191888,
长青小宾馆,,18297562199,
凯宁宾馆,,13731920075,
长乐宾馆,,18956384517,
时代宾馆,,05635106222,13637226261
鸿泰宾馆,,05638151140,18095637792
藤运商务宾馆,,05637373988,
八方宾馆,,18075416369,
广源宾馆,,05633026688,
鑫润商务宾馆,,05634801666,18056386777
鑫宇宾馆,,18196752900,
平港海湾休闲会所,,05637081888,
