姓,名,家庭手机,工作手机
桂阳大地酒店,,07738829889,
紫薇国际酒店,,07738779888,
依水阁主题酒店,,07738888005,18978370026
阑珊处客栈,,15577460067,
蓝婧精品酒店,,07738813758,
懒人空间客栈,,07738885181,14797736400
碧兴居酒店,,07738815288,8822779
朗晴居客栈,,07738812530,18934808355
叁叔客栈（西街店）,,13123539919,
默默客栈,,13321731790,
一米阳光客栈,,13517865908,
青年汇精品客栈（西街店）,,07738888125,15078960051
背包者青年旅舍,,07738820931,13077630834
吉喆酒店,,07738885052,18169689675
莉莉安精品酒店,,07738885028,18077305392
帝缘主题酒店,,07738888224,13978369849
陌上·山角书屋客栈（西街店）,,07738820877,18178746636
11国际青年旅舍（阳朔西街店）,,07738884944,18078394944
景观楼连锁客栈,,17090403348,
零距离酒店,,07738880518,
天成居花园酒店（贵宾楼店）,,07738887788,8887799
广侨客栈,,17776272199,
兴坪望山栖居民宿,,15277320095,
幸福园客栈,,07738821066,18074733820
星球宾馆,,07738815298,13737729618
旅行者青年旅舍（西街店）,,07738826905,6916134
小松客栈,,07738826296,
丰源客栈,,13457364293,
美梦成真精品客栈,,18077367866,15977097703
画意精品客栈,,07737955988,
香颐客栈,,07738816976,8816916
傍江别院客栈,,07738820229,13877375351
甘老师家庭客栈,,13878372127,13517639293
隐居客栈（阳朔西街店）,,07738822860,
小茜街客栈（武警路分店）,,18290050003,
碧峰酒店（西街店）,,07738881138,13558436369
星辰主题客栈（西街店）,,07738812348,
宇全酒店,,07736919118,15577377720
布丁酒店（桂林阳朔西街店）,,07738888858,
Stay Hostel（阳朔西街店）,,07738888028,15717385805
青峰酒店（西街店）,,07738881268,13907737738
元良生活客栈,,18778308282,
凤尾竹青年旅舍,,18078391893,
苏溪微舍客栈,,13347562376,17776344353
星座酒店,,07738820108,13788437877
916青年主题客栈,,07738820916,18076788251
东广客栈,,07736916963,8811986
老寨山水相依客栈,,07736916911,13687834919
浪漫之旅主题客栈,,13977308853,
记忆旅行客栈,,07738821413,7950345
阳朔观景阁连锁客栈,,17090403348,
大唐秀酒店,,07738886008,13377326667
枫叶客栈,,13878373476,13878374817
福缘酒店,,07738817886,
漫瑶客栈,,07738885180,18076789604
金源酒店,,07738828066,13877377067
漓悦山庄酒店,,07738720888,18077367269
爱琴海主题酒店,,18177363106,
很多人连锁客栈（西街二分店）,,17777385123,
漫步云居客栈,,07738821326,18169689200
吉百合客栈,,07738825885,18632432186
小世界精品客栈,,07738882015,18172698190
明苑酒店（西街店）,,13737397588,
木木和小懒客栈（西街店）,,18176337746,
树懒咖啡主题旅馆,,18977397766,
忘记精品客栈,,07738828125,
三十度灰青年旅舍,,18077368266,
悠闲小住自助公寓,,13788438142,
漓江山水居客栈,,13507839318,
彩虹堂主题客栈,,18977394300,
闲情雅致酒店,,07738888929,15877002278
清依舍精品客栈,,07738828280,15295833792
小时候客栈（阳朔漓江店）,,07738810059,18176339181
浮生客栈,,18977395535,
易素慢生活客栈,,15677387698,
星满天酒店（西街神山路店）,,07738888133,18178738133
有家客栈,,07738820505,13471395450
云鹤楼客栈,,15107837503,
唯依主题酒店,,07738751333,18169688850
栖木酒店,,07738883616,
雨后度假酒店,,07738885119,18077306586
阳光客栈,,07738820880,
鸿阳酒店,,07738817318,15977364499
葡萄人家酒店,,07738828822,
静待花开客栈（西街店）,,13597163789,18176339885
八戒青年客栈,,18169689588,
感悟漓江客栈,,15977360588,
可爱猫主题酒店（西街店）,,07738885818,18172696680
一路阳光客栈（西街店）,,13877378313,
富安花园小酒店,,07738881818,13978302568
玖加壹温馨客栈,,07738820717,18078390353
7天优品酒店（桂林阳朔西街店）,,07736919777,
子馨驿站,,07738828397,
波尔卡青年公社（西街店）,,18978371103,
西街漫步酒店,,07738826608,
红馆酒店,,07738886880,
望江客栈,,18593936150,
珍妮花客栈,,07738820372,15292252250
雨亭酒店（西街店）,,07738882835,
祥云宾馆（西街店）,,07738811713,
西街易素青年旅舍,,07738822145,15677379533
在水一方客栈,,18377355999,
美景主题客栈（西街店）,,18977397218,
峰泉山庄,,15977097499,
新逸游客栈（西街店）,,07738881113,
熹熹精品酒店,,07738885758,
花城客栈,,07736914069,
旧糖客栈,,18078390325,
浪漫西街酒店,,07738815999,15978003189
橙子客栈（西街店）,,18177397898,
很多人美食客栈（西街店）,,18176339533,
左邻柚舍客栈,,13737716004,18978646004
驿步轩精品酒店,,07738816670,
月光小院客栈,,18076789939,
爱旅行青年旅社,,18172698320,15295833681
阳朔西街伴山花园酒店,,07738826086,
桂花巷国际青年旅舍,,07738814077,
老班长国际青年旅舍,,07736919780,
西遇·猫小屋客栈,,07738829129,18078393903
田园主题客栈（碧莲巷店）,,07738829009,
兴坪水云间田园酒店,,07738701006,13878374729
德铭轩客栈,,07738816667,13903028809
小毛驴客栈,,07736919838,13710610651
娜娜自助咖啡旅馆（西街店）,,07738819999,8819368
蜜桃主题客栈（西街店）,,18177398628,
昨天主题客栈（西街店）,,18177399566,
寒山居精品酒店（西街店）,,07738885896,
香榭里度假酒店,,18378347231,
黄荷精品酒店,,07738826881,
蘭斯酒店（阳朔西街店）,,07736978988,6978987
森林庄园客栈,,13377326695,
董小姐的旅舍,,13726911908,
易素西街客栈,,13558339898,15677379533
翠影阁,,07738828198,
悦途居精品酒店,,07738818886,13878375245
归园客栈,,15977365839,
陋室精品客栈,,07738885669,
阳朔木棉槿客栈,,07738821678,
雅居旅游度假家庭公寓,,18077306589,
陌客主题客栈,,07738881028,18607732789
礼拜天酒店,,18078391966,
北门精品酒店,,07738811018,13321730358
睡觉吧客栈,,07738889005,
尚客优精选酒店（桂林阳朔桑园路店）,,07737955678,
方兴未艾客栈,,07738825258,
老西街客栈,,18076788263,13367833303
天顺家庭宾馆,,13457360073,
格林豪泰快捷酒店（阳朔印象刘三姐店）,,07738825998,8824998
露茜假日酒店,,07738886989,
一夏青年民宿,,13657860761,
素心忆栈（阳朔店）,,07736910988,
怡家人公寓酒店,,18577371651,
悠闲小住自助公寓,,13788438142,
观山云居国际青年旅舍（西街店）,,18078428851,
白蓝蒂酒店,,07738884958,
夏天客栈,,07738810289,15949377590
遇龙河乡村客栈,,13768718864,
碧波湾酒店,,07738888091,13978357322
大四喜乡村客栈,,07738778688,
金秀精品酒店,,07736912118,
百家乐主题客栈,,07738828521,15295921717
阳朔小时候客栈（江景店）,,18176339181,
格林豪泰快捷酒店（桂林阳朔西街店）,,07738885757,18176338869
凰宫花园酒店,,07738882878,13597164123
华源旅店,,07738703836,13517864916
花漾主题客栈,,07738821699,
兴坪河岸饮居,,13367736388,
阳朔栖心九隐客栈,,18507737688,
兴坪漓江竹苑家庭旅馆,,13377326793,
遇龙河一家人农家乐,,18978370858,13471354410
一鸣居客栈,,13977331782,
西街思域精品主题酒店,,07738882853,
柠檬主题酒店,,07738883678,18877386688
山水渔歌酒店（阳朔印象店）,,07738887098,18077306079
致景苑客栈,,13627834118,
叮当酒店,,07738816628,18777337500
雨巷客栈,,07738882658,8732777
江景阁客栈,,13788437460,18977397790
花千树客栈,,07738889771,13768740167
勇勇客栈,,13788435566,
万家别院客栈,,07738828338,13878372859
水埠头人家客栈,,07738886988,13457368655
丽凤酒店,,07736916997,
地中海大酒店,,07738887333,8889667
开房吧时尚酒店,,07736917222,
天成居花园酒店,,07738826777,
黄布人家客栈,,15078321806,
如家派柏·云酒店（桂林阳朔西街店）,,07738810508,
芒果主题酒店,,07738887886,
城中客栈,,07738820202,18877344666
熙悦酒店（原永恒朗悦精选酒店）,,07732220366,
花开沉香客栈,,07732216275,18377353825
苏碧青年旅舍,,07738889619,
客常居客栈,,15295831066,
7天连锁酒店（桂林阳朔汽车总站店）,,07736912999,6912289
致知书院客栈,,07738887373,15977392172
雅佩客栈,,15777327277,
单人房青年旅舍,,07738888919,
向日葵酒店,,07738810958,
畔江月客栈,,07738778927,18978372884
十里画廊客栈,,13297731959,
爱尚酒店,,15949377428,
新青禾客栈,,07738823128,13077632798
嘉艺隆客栈,,15678361188,
典雅居家庭自助公寓,,18007884500,
芒果帮青年旅舍,,07738829977,15977097693
莲花居客栈,,07738888846,18077367709
天涯江景酒店（田园路店）,,07738821064,
醉美主题客栈,,07738887208,
布鲁斯公馆,,13978351320,
飘摇摆渡,,07738881186,18505992080
雅逸宾馆,,07738885570,
眯喽客栈,,07738880887,18934809887
游家香木酒店,,07738886895,18077305538
8号楼客栈,,07738819916,18977398590
瓦舍旅行酒店（阳朔西街店）,,07738882686,
古岸悦风酒店,,07736918889,18677717969
