姓,名,家庭手机,工作手机
温馨苑宾馆,,17719221019,
蓝月网络客房,,15225533358,
新新旅馆,,18736262283,
凯悦大酒店,,037969519999,69519888
朗庭主题酒店,,037969287888,
车站宾馆,,13698809381,
人民公舍,,037969287666,
瑞家时尚酒店,,037968355559,13333796888
万豪商务酒店（客房）,,037968355222,68356976
帅康宾馆,,037968369767,
胜达网络宾馆,,037968332388,15139929777
蓝湾假日宾馆,,037968570876,15236222200
亿鑫宾馆,,037968588777,18037566515
可可里酒店,,037960134567,65066699
美年华主题商务酒店,,037965068111,13838582513
天丽商务宾馆,,18737982888,15038602501
宜家网络宾馆,,037969515885,
尚一特连锁酒店,,037969371777,
汇丰·凤山公寓,,037969392333,
东运快捷酒店,,18037965225,
金尊商务酒店,,037965062828,
宜居时尚酒店,,037968366588,
汾陽商务宾馆,,13598176789,15036700777
五星商务宾馆,,037980857618,
阿里吧吧网络宾馆,,17760287700,
豪廷商务宾馆,,037980862000,
新友谊网络宾馆,,037969351678,69351677
星河洗浴宾馆,,037968307888,
豪客来酒店,,037980878255,13838855387
新城市客栈,,037960196188,
家和快捷酒店,,037965066999,
龙源快捷,,037980882279,
金沙海岸主题酒店,,037980895111,
金上华庭大酒店,,037968369000,
鑫悦商务宾馆,,037968368118,
龙源酒店（豫港大道店）,,037969356788,
子龙温泉宾馆,,037968308999,
天意主题文化酒店,,037965068000,
丰华国际大酒店,,037969582999,
格林豪泰快捷酒店（伊川伊龙大道店）,,037968301777,
未来商务酒店,,037965067888,
金悦商务酒店,,037968362288,
美宜家连锁酒店（伊川酒城路店）,,037969360001,15937923166
艾乐芙主题酒店,,037969521521,
君悦商务宾馆,,037969599777,
顺阳商务宾馆,,037968578787,13523604659
鸿鹰宾馆,,13366885656,
丽都国际酒店,,037965063888,60673556
游子港湾宾馆,,037980867116,15838807177
金玉网络客房,,037980885300,15290519136
百纳瑞汀时尚酒店,,037969371999,69371888
新城宾馆（南府店广场店）,,18037915807,
忆家网络旅馆,,18037566367,
平安商务宾馆,,037969369999,
凯旋网络宾馆,,15090166678,
世纪宾馆,,15236697792,
品味居,,15538588383,
回家宾馆,,18937932309,
悦豪商务酒店,,037969286111,
网络宾馆,,15896685923,
交通宾馆,,037968365531,
胡胖子农家院,,18238829300,
家家乐网络客房,,15137921799,
爱尚商务酒店,,037963060666,63060888
酒城客栈,,18537981661,
仟百度城市客栈,,037965061111,
美乐美公寓,,037969579555,
洛阳兴荣酒店,,037968566667,
昌盛网络宾馆,,15896636500,
怡晨网络快捷宾馆,,18037915766,
九州网络宾馆,,13939931313,
福临宾馆,,13837953035,
金馨网络客房,,18937928315,
暖如春公寓,,13613891222,17739039117
府邸公寓,,13663877768,18137753338
万家乐大酒店,,037968598889,
足之韵住宿,,037980880033,
奇瑞快捷宾馆,,037969361800,
高洁公寓,,18317508933,
客来顺旅社,,15194562852,
芳达宾馆,,037960871398,13700813809
鑫鑫旅社,,13525456739,15896500465
瑞源宾馆,,15038613698,18039960631
金海岸商务宾馆,,037960167979,
金茂大酒店,,037969351888,
双衡宾馆,,037969352352,
梦庭主题酒店,,037965068555,18639748567
乔家网络宾馆,,13721607085,
兴隆旅馆（荆山路店）,,18137969118,
龙都水悦酒店,,037960152828,
西山明珠商务酒店,,037969597666,69597888
柏悦公寓,,037969366123,
紫金山宾馆,,18137767199,
速8网络宾馆,,037968361989,
鸿翔宾馆,,13698879556,
东和快捷酒店,,037969367900,
金豪酒店,,037968351688,
优家快捷酒店,,037968356111,
君悦商务宾馆（鸣皋店）,,037968535666,
银鼎酒店,,037980889777,
汇龙宾馆,,037965066600,
红海湾宾馆,,037965069997,
天新运公寓,,037965066877,15139977908
天龙帝豪商务酒店,,037969599999,
兴华宾馆,,037969353299,
伊龙国际大酒店,,037968368001,
风景时尚酒店,,037969368777,
金鑫宾馆,,18336756111,
迪尼斯酒店（伊川店）,,037968300111,
天地情宾馆,,037968357666,
钰海宾馆,,037962736888,
金鑫宾馆,,13838890188,
龙鑫网络客房,,037968339099,
中州商务酒店,,037968388888,
聚福源宾馆,,037980885666,
瑞和网络宾馆,,037969599177,
碧水伊洛,,037968337899,
丽悦商务酒店,,037980850555,
千姿旅馆,,037968332625,
杨记快捷酒店,,037969535777,69576699
雅鑫旅馆,,037968446678,
唯景蓝鹊湾旅馆,,037968332222,
富丽华大酒店,,037962735888,
洛阳滨河智选假日酒店,,037962738888,
君悦来宾馆,,037968583000,
双辉酒店,,037968531678,18237955178
三卿旅社,,15036708756,
滨河旅馆,,13623896716,
润德农机宾馆,,13849957812,
财神大酒店,,037968338888,
豫港宾馆,,037968364643,
福祥宾馆,,13526911191,
宜家公寓,,13698893388,
商都公寓,,13949203719,18638880965
美好公寓,,13333875855,
家庭宾馆,,18137732358,
可可宾馆,,13633885086,
酒城旅社,,037968367678,
沣源网络宾馆,,037968562729,
迎宾旅社,,13233916231,
鸿福宾馆,,17739076661,
阳阳宾馆,,18037915776,
多客多宾馆,,18037915780,
味香居大酒店,,037968543939,
朝阳旅馆,,037968335262,
宏达酒楼,,037967407289,
诚信宾馆,,15237975893,
利峰酒店,,037968461666,
瑞丰公寓网络客房,,18037915815,
六家网络宾馆,,13592095346,
家庭旅馆,,15538860654,
天涯旅社,,15303885387,
同仁旅馆,,18037915727,
祥瑞旅馆,,18037915711,
暖如春旅馆（杜康大道）,,037968335158,
家庭宾馆（中国交通运政西北）,,037969510088,
仟禧酒店,,037969581555,
超凡旅馆,,037962735686,15136362533
彩云归大酒店,,037968592666,
馨梦宾馆,,15738987589,
君安旅社（彭庄）,,18037915769,
一家网络宾馆,,037968578389,15838598189
兴城宾馆,,037968335021,
永昌旅馆,,037968331133,
同心宾馆,,15236279608,15138759708
昌盛宾馆,,037969353957,
铜锣湾公寓,,13213696708,
尚友网络客房,,18037903727,
万商旅社,,13837953773,
平安旅馆,,037962735558,
豪利来大酒店,,037968301268,
齐航网络宾馆,,13523790663,
万顺旅馆,,037965064008,
福临大酒店,,037969501930,13698819134
惠众旅馆,,13461065678,
伊诚宾馆,,13137997526,
顺丰旅馆,,18037915738,
