姓,名,家庭手机,工作手机
蓝天旅社,,037968885588,
鑫源旅馆,,15716664331,
尚派商务酒店,,037965216521,
尚客优快捷酒店（宜阳纬一路店）,,037980866555,
普罗旺斯快捷酒店,,037968981777,18037921227
向东宾馆,,037968822688,13526930216
义络宾馆,,037968896668,13653798000
银山商务酒店,,037969308888,
河洛宾馆,,13323790371,
阳光快捷宾馆,,037968825168,
鼎森快捷宾馆,,037960862651,
锦绣宾馆,,13837995902,
世纪宾馆,,18337929067,
布步高宾馆（向荣路店）,,18137705001,
布步高宾馆（育新路店）,,18137705001,
盛鑫快捷酒店,,037968823168,
时代主题宾馆,,037980855959,
银河宾馆,,13373780135,15237987567
洛阳心安悦商务酒店,,037968799999,65216608
灵泉宾馆,,037968881766,
方圆商务酒店,,037968829888,68829887
雨花石主题酒店,,037980893222,
泰和宾馆（红旗东路店）,,037968886822,17737079829
现代商务宾馆,,037980881188,
嘉禾快捷酒店,,037968777177,
菲英特快捷酒店,,037968870188,
君临快捷酒店,,037968714027,
尚客优快捷酒店,,037968986777,
三星商务大酒店,,037965218188,
嘉园宾馆,,13592032181,
名邸宾馆,,13938868944,
金海丽湾酒店,,037963089555,
华丽宾馆,,037968882087,
普罗旺斯酒店（旗舰店）,,400056-0379,13383890777
府祥宾馆,,13938857857,
IU酒店（洛阳宜阳文化路店）,,037968895678,
优客假日酒店,,037960661996,60661997
骏歌假日酒店,,037960112255,
香樟树·花间酒店,,037968826666,68823333
锦绣百合大酒店,,037965210333,
左岸花园假日酒店,,037965216111,
忆莲居酒店,,037965102666,
青啤宾馆,,13525498127,15538598127
城东宾馆,,13373795576,
金霞旅馆,,037960897866,15729096191
新心连心婚礼主题酒店,,037968886497,
车站宾馆,,037968890918,
兰汀商务酒店,,037968891168,
锦龙商务酒店,,037960893511,
金水湾商务会所,,037968816222,
银河宾馆,,13838830791,
鑫源宾馆,,037968828282,
爱尚品质旅馆,,037968999989,
灵山商务酒店,,18211979650,
灵山莲花水城酒店,,037969330696,68921888
聚福宾馆,,037968877177,
宜阳宾馆,,037968877168,
春都宾馆,,037968813777,
万润商务酒店,,037968888199,
城西家庭旅馆,,037968877998,
交通宾馆,,037968880181,
自然醒家庭旅馆,,037968882341,
鑫隆客栈,,037968888118,
灵云大酒店,,18037959295,
普罗旺斯头疗养生,,037980887211,
碧波商务酒店,,037963007676,
e家宾馆,,18537911507,
花园旅馆,,13233935700,
弘洁旅社,,13373780281,
牡丹园酒店（香鹿山店）,,037963089677,
锦屏商务酒店,,037968789999,
家和宾馆,,18737955427,
避暑山庄农家院,,15236195677,15037998053
金海岸酒店,,037968880503,
香山旅社,,13838476261,
爱心旅社,,15837970156,
冬月宾馆,,037962759788,13938831959
迎宾旅社,,15517952858,13721681844
鑫园酒店,,037965176999,65220999
玖玖温泉四合院,,18211979650,
宜嘉公寓,,15036563399,
林场招待所,,037968882063,400833-6699
水席园大酒店,,037968885286,
家鑫商务酒店,,037968877777,
宜家宾馆,,15978651105,
中南宾馆,,13938837612,
星晨宾馆,,13007585565,
玉和大酒店,,18638857325,
花果山连云宫度假中心,,15225539388,
豪门宾馆,,037968822855,
盛世祥龙度假村（凤之巢）,,037968884777,13333792216
小康北街旅馆,,13383888977,
富园宾馆,,03797377377,
锦桥国际大酒店,,037968881777,
汇金足浴（客房部）,,037968888870,
锦龙宾馆,,18737917727,
锦屏大酒店,,037968788899,
滨河住宿,,18337934193,
