姓,名,家庭手机,工作手机
星辉宾馆,,07962520618,15579637519
凯悦宾馆,,07962520388,
佳家主题宾馆,,07962510188,2514666
新城商务宾馆,,07962279111,
文媛宾馆,,07962222255,
新四方宾馆,,07962202288,
商贸宾馆,,07962569999,2512095
隆达迎宾馆,,07962524986,
皇朝国际大酒店,,07962201899,
华亭宾馆,,07962510888,
主题商务酒店,,07962595111,
银河宾馆,,07962552999,
天地和主题酒店,,07962524999,2523888
永丰六一居国际酒店,,07967128888,
凯旋门大酒店,,07962599999,2211111
花园商务宾馆,,07962528418,
时光机客栈,,13755418988,
鸿客隆宾馆,,07962529711,
小天鹅宾馆,,13879643766,
鑫丰宾馆,,07962520728,
新泰宾馆,,07962519333,
藤田大酒店,,07962531555,
肖家宾馆,,07962521669,
亚申宾馆,,07962534999,
喜来登宾馆,,07962525406,
皇家商务宾馆,,07962545888,
东南海宾馆,,07962523996,
鑫源宾馆,,13479064221,18601665737
天地和大酒店,,07962223399,
长丰旅馆,,07962519568,
麻辣公寓,,13764370867,
彭厨酒店,,07962563777,13807965444
帝王商务宾馆,,07962212777,
黄金海岸宾馆,,07967126677,
锦宗宾馆,,07962202222,
金陵大酒店,,07968803910,
恩江宾馆,,07967129999,
时代宾馆,,07962517618,
怡都宾馆,,07962262688,
天虹宾馆（直街）,,07962520818,
沙溪大酒店,,07962571899,
星鑫大酒店,,07962571122,
阿美宾馆,,07962206861,
东方红大酒店,,07962571018,
鼎赋宾馆,,07962206277,
嘉泰宾馆,,07962579888,
鸿客隆商务宾馆,,07962527108,
金元宾馆,,07962518000,
乡企宾馆,,07962511736,
天虹宾馆二部,,07962527999,
汇丰宾馆,,07962516888,
金凯瑞宾馆,,07967128899,
世金银酒店,,07962321149,
华丰宾馆,,07962516588,
天龙宾馆,,07962519599,
红日宾馆,,07962206998,
幸福大酒店,,13576800873,
站前旅社,,15107968562,
