姓,名,家庭手机,工作手机
雅都华悦大酒店,,057987298666,
丽中宾馆,,057987102555,
纯歌宾馆（永康店）,,057987297773,
蓝悦亮商务宾馆,,057987449288,
波波宾馆,,057987297588,
君兰宾馆,,057987178688,18868460262
华宇宾馆,,057987219900,
天一宾馆,,057987217056,18157950262
金利来宾馆（永康东站店）,,057987210100,
金九龙商务宾馆,,057987036800,
帝豪精品酒店,,057987126699,
布丁酒店（永康胜利商业街店）,,057987255566,
金城柏悦酒店,,057981799777,
元壹连锁宾馆,,057987187555,87213222
宜君商务宾馆,,057987026989,
海阔榕庄酒店,,057987297999,
金都豪庭商务宾馆,,057987255668,
鸿业假日宾馆,,057987216889,
鸿业友谊宾馆,,057987285555,89200005
紫薇花园宾馆（客房部）,,13626795522,
锦江之星（永康市汽车西站店）,,057989278888,
永康东方宾馆,,057989269990,13566702430
禧玥商务宾馆,,057989281111,
罗珊娜宾馆,,057987255666,
四季风尚酒店,,057987265066,
金华永康宾馆,,057987112801-8000,
君丽假日酒店（永康店）,,057987175111,
天豪主题宾馆,,057987157555,
嘉德宾馆,,057989285999,
永康江南甲第大酒店,,057987215888,
裕佳豪会所,,057987592888,
宾利酒店,,057987387700,87381888
英爵爱·万豪酒店,,057989286888,
印象小城客栈,,057987088708,
都市宾馆,,057987446603,
新龙大酒店,,057987515737,
紫微大酒店（紫微南路店）,,057987174999,
保格利大酒店,,057987235555,
玖家玖宾馆,,057989270099,
凯信·半岛大酒店,,057989289999,
罗曼米特酒店,,057989280999,89280995
家和宾馆,,057988028899,
永康康廷大酒店,,057989288888,
鸿泰宾馆,,13967914952,
永康明珠大酒店,,057987269168,15888986208
凤栖永州宾馆,,057983989988,
泰煌大酒店,,057987108222,
客缘商务宾馆,,057987330222,18058909611
景城岛时尚宾馆,,057987225225,
南山木语度假酒店,,057986468777,
西西商务宾馆,,057983408899,
澳港时尚酒店,,057989269999,
聚益楼宾馆,,057986468886,
远洋宾馆,,057987215826,87072088
金芙蓉假日酒店,,057987567736,
奥奔精品酒店,,057989270007,
金海湾大酒店,,057987102222,
龙凤商务宾馆,,057987096789,
新光商务宾馆,,057987266366,
紫薇万家宾馆,,057987296888,
裕佳豪展鹏酒店,,057989286888,
云都宾馆,,057987297699,
鸿业海天宾馆,,057987576188,
长青宾馆,,13429069307,13335892100
象珠宾馆,,057987369158,
鸿福商务酒店,,057987108188,
双飞旅馆,,057987296098,
屏山客栈,,15867918477,13588609691
凯斯帝商务宾馆,,057987588818,
永胜宾馆,,13735706197,
锦华宾馆,,057987216222,
米朵宾馆,,057987072999,
麦禧精品酒店,,057987102666,
鸿运宾馆,,057987066998,
龙泽商务宾馆,,057987191122,
零距离概念宾馆,,057989283288,89283299
鑫川精品酒店,,057987330033,
天豪公寓,,17305898928,
财神商务宾馆,,057987021212,
鸿业涛涛宾馆,,057989200004,87212888
汉庭（永康国际五金城店）,,057987218222,
美高美大酒店,,057987332222,
好特快捷酒店,,057987232888,
方岩农家院,,13868950968,
德汇精品酒店,,057987270999,
卫康宾馆,,057988029966,
宜家时尚宾馆,,057987139688,
金米兰商务宾馆,,057987584913,
金狮100连锁宾馆（丽州北路店）,,057987035777,
雅致.皇庭花园酒店（永康店）,,057987085666,
豪帅宾馆,,057987369578,
型格时尚宾馆,,057987192666,
小镇影视宾馆,,057987404777,
锦岦时尚主题宾馆,,057987831888,
雄铭商务宾馆,,057987583000,
长城宾馆式公寓,,18058916899,
虹霓宾馆,,057987278588,
金茂大酒店（华丰中路店）,,057989298488,708459
腾骏商务宾馆（永康国际五金城九鼎路店）,,057983998998,
振东大酒店（客房部）,,057987126668,
城东旅馆,,057987380849,
海清公寓,,18966057277,
西峰宾馆,,057987511697,
西苑宾馆,,057989207106,
万丰宾馆,,057987297268,
尚捷商务宾馆,,057989290222,
三得利商务宾馆,,057987155715,87296885
西山公馆,,057989291111,
金色佰年假日酒店,,057989278889,
悦榕庄假日宾馆,,057987355777,
紫微京城大酒店,,057987212222,13868994016
绿地生态庄园,,057987283378,89289669
金华ZENTA西塔咖啡厅,,057987172726,
洋潮宾馆,,057987296000,
青和青年旅店,,18157946639,
旭日升宾馆,,057987514212,
振康宾馆,,057987478742,
五峰阁宾馆,,057987446865,15857995848
龙溪商务宾馆（大坟山店）,,057987032299,
新博览主题宾馆,,057987017998,
乐乐宾馆,,057987366846,
白天鹅宾馆,,18067656015,
鑫康商务宾馆,,057987576699,
夜明珠商务宾馆,,057987296518,13665869592
玖客商务宾馆（西站店）,,057987330011,
九红宾馆,,057987389378,
威斯汀酒店,,057989200111,
万豪商务宾馆,,057987130888,
威士康宾馆,,057987369558,
香樟宾馆,,057987170388,
鸿业商务宾馆,,057987115888,89200001
宏祥商务宾馆,,057987226098,
股旺金来酒店,,057987111555,
东园客房,,057988025058,88025463
紫金阳光商务会馆,,057981700173,
圣保罗商务宾馆,,057987312088,
乐都宾馆,,057987508188,
益福宾馆,,057988359329,
金康宾馆,,057987213111,
铜陵路公寓酒店,,17305898928,
百度宾馆,,057987139001,
惠达商务宾馆,,057987035777,
金富门宾馆,,057987266024,
安逸宾馆,,057987295688,
长富宫宾馆,,057989291333,15988581967
顺安客房,,057987213859,
东方之彩宾馆,,057987210388,
东永商务宾馆,,15925930218,
千禧客房,,057987296448,
新都旅馆,,057989268161,13626894937
贵都宾馆,,057987296699,13958782291
良友宾馆（求德路店）,,057987530768,
新洲宾馆,,057987061878,87298171
鸿达宾馆,,057987291998,
福祥旅馆,,057987216108,15958957166
红月亮宾馆,,057989291218,87217551
鑫山旅馆,,057987295401,18368656423
永康国际大酒店,,057987309999,
朗廷宾馆,,057989282825,
索菲特商务宾馆,,057987255888,87298407
龙溪商务宾馆（夏溪店）,,057987232277,
唛浪宾馆,,057987360688,
鸿源商务宾馆,,057987015868,
顺安客房,,13868955857,
恒泰宾馆,,057987297098,
海宾旅馆,,057987383122,
芝英宾馆,,057989291234,
阿洪时尚主题酒店,,057987217222,
鸿宾旅馆,,057987296568,
君安旅馆,,057987262319,
择川旅馆,,057987296157,
腾达旅馆,,057987297286,
献忠旅馆,,057987296488,
龙山大酒店,,057987477025,
宏都宾馆,,057987297628,
金果宾馆,,057987298235,
顺发旅馆,,057989287269,
顺意宾馆,,057987295695,13094652558
明月酒店,,057987295815,
恒升旅馆,,057987218371,87218076
中山宾馆,,057987295452,
精品单身公寓,,15024593001,
西站旅馆,,057987262515,
京华大酒店,,057987172610,
友好旅馆,,057987383115,
锦鑫宾馆,,057987296978,
京西旅馆,,057987295892,
福运旅馆,,057987383437,
美佳酒店式公寓,,057987133058,
清华楼旅馆,,057987218935,
永红旅馆,,057987218290,
豪远宾馆,,057986461928,
龙达宾馆,,057987531278,
铂尔顿精品酒店,,057987102888,
香格里拉城市花园,,057987566777,
金陵大酒店,,057987526801,
丽芳旅馆,,057987117773,
常新宾馆,,057987297108,
大众旅馆,,057987432990,
星都客房,,05797218899,
鸿泰公寓,,13857929495,
老乡旅馆,,057987262297,
楼龙农庄农家乐,,057987350666,
宏星宾馆,,057983837336,400833-6699
春天宾馆（九铃西路店）,,057983837218,83837219
明日宾馆,,13454956896,
红太阳宾馆（永兴路）,,057987297822,
站前旅馆（九铃西路）,,057986874257,
宇翔旅馆,,057987218337,
荣发招待所,,057987296793,
佳宾旅馆,,13868956211,
辰昕农庄,,057987099555,
丽州旅馆,,057987129001,
楼中楼旅馆,,057987262056,
康弘宾馆,,057988051008,13758980637
中煌公寓,,057983969999,87366999
桃花苑,,057988025038,
诚信宾馆,,057989274559,
铃西旅馆,,057987115102,
金玉宾馆,,057987296998,
名菊大酒店,,057987446399,
古山宾馆,,057987515120,
永安旅馆,,400833-6699,13967928461
西湖宾馆,,057987296078,
东尼商务宾馆,,057987296160,
天鹅旅馆,,057983967415,
丽鸿宾馆,,057987382362,
城西旅馆,,057986465908,
鑫鑫隆宾馆,,057987226246,
凯峰酒店,,057987291959,
高镇客房部,,057987295055,
顺鑫商务宾馆,,057987442111,
港湾宾馆（城北西路）,,057987296983,
