姓,名,家庭手机,工作手机
西城宾馆,,18705304050,
国仁居客栈,,05306386777,
齐庙巷宾馆,,053015964615,15964615480
西苑宾馆,,13695302000,
五洲商务宾馆,,05306557928,
南都商务宾馆,,05306939191,
西苑招待所,,05306580285,13705303769
金利家宾馆,,05306557071,
山水宾馆,,05306852048,
凤凰台大酒店,,05303134666,
金亿家商务宾馆,,05306581088,
同悦宾馆,,05306830999,18765057616
金帝商务宾馆,,05306737666,18953648656
宜人宾馆,,05306882008,
舒馨宾馆,,05306531686,
金马宾馆,,05306806888,15666626688
万达之星商务酒店,,05306926666,
星光宾馆,,05306558868,
合适佳商务宾馆,,05306536660,
贵和商务宾馆,,05306778989,
名都商务宾馆,,05306539318,
华联润发商务宾馆,,05306239888,
九间房宾馆,,15192461888,
三星商务宾馆,,05308613000,15315610128
红旗宾馆,,05306933000,
外贸商务宾馆,,05306701234,
静雅商务宾馆,,05306786777,
贤雅居商务宾馆,,15020459231,
嘉诚商务宾馆,,05306369988,
7天连锁酒店（菏泽郓城金河路店）,,05306778777,
尚客优快捷酒店（菏泽郓城汽车站店）,,05306510000,
碧水云天商务宾馆,,05306446555,13853014679
银座佳驿（菏泽郓城汽车站店）,,05302055777,
黄安金达宾馆,,05306757888,
启航之星商务酒店,,05306576666,
速八宾馆,,05306516111,
香格里拉主题宾馆,,05303933888,
郓城县七天渡假商务宾馆,,05306567777,
梦起航宾馆,,13406053789,
尚客优快捷酒店（菏泽郓城西门街店）,,05306551238,
新华商务大厦,,05306318888,
金轩商务宾馆,,05303936988,15965697568
美苑宾馆,,13561339932,
格林豪泰酒店（郓城宋江武校店）,,05306822888,
如家快捷酒店（菏泽郓城金河路店）,,05306537666,
君越商务宾馆,,05306822777,
亚世商务宾馆,,05306525858,
诚信主题宾馆,,05306580001,
安泰宾馆,,05306534083,18753031568
汉庭（菏泽郓城汽车站店）,,05306650000-5544,
陈家旅社,,05306153218,
陈家宾馆,,05306520098,
阳光宾馆,,13153098707,
青年宾馆,,05307526666,18311778888
凯悦商务宾馆,,05306777773,
郓城宾馆,,05306528816,
阿玛尼主题酒店,,05307388111,
郓城县锦江之星商务酒店,,05306579777,
鑫宏发商务宾馆,,05306701788,
乐园宾馆,,05306977776,
郓城县格林浩泰商务宾馆,,05306151888,15705409995
司五宾馆,,05306511819,
郓都宾馆,,05306529543,
88商务宾馆,,05306942222,15550147878
丽朗宾馆,,05306358666,18678554887
9+1商务宾馆,,05306553456,
佳怡宾馆,,05306557999,
驿家365快捷酒店,,05306777365,
郓州宾馆,,05306538000,
百斯特商务宾馆,,05306575777,13583033989
张家店宾馆,,05306522205,
七星华誉大酒店,,05306232222,
圣达大酒店,,05306938888,
恒泽轩商务宾馆,,05306990077,
水浒大厦锦泰商务大酒店,,05306827777,
九龙商务宾馆,,05306152626,
菏泽郓城海红商务宾馆,,15898951966,
洪立快捷酒店,,15854001268,
铂爵国际大酒店,,05306538888,
鑫丰家园旅社,,15562036538,
南城商务宾馆,,05306552288,13561306025
鑫鲁宾馆,,05306702178,
客之家商务宾馆,,05306566636,
福瑞轩宾馆,,13854099927,
宝源宾馆,,05306998989,
99商务宾馆,,13854055488,
黄安君悦宾馆,,15054662898,
88商务宾馆客房部,,05306942222,
宏乐宾馆,,13853092170,
惠通大酒店,,05306721788,
商务宾馆,,05306328988,
宇安德宾馆,,05306835050,
喜来登宾馆,,05306150699,
程屯宾馆,,15905302067,
菜根香酒店,,05306781000,
红星宾馆,,05306853168,
华盛宾馆,,05306757755,
365商务宾馆,,05306818365,
商务宾馆,,05306812085,
简爱,,15275049998,
众友商务宾馆,,05306478888,
世丰宾馆,,13285408777,13615406056
炫腾商务宾馆,,05306817766,15054697766
君悦酒家宾馆,,15552092368,
凯旋酒店,,05306898555,
广东宾馆,,18605486575,
梅四宾馆,,15098221010,
华阳宾馆,,05306993456,
渡假宾馆,,05306552379,
圣华商务宾馆,,05306888819,
弘泰宾馆,,05306535230,
新奕峰宾馆,,13854065807,
春天宾馆,,05306157036,
金盛宾馆,,18358255678,
梦隆宾馆,,05306536358,13176210505
亿和宾馆,,05306590008,
星际宾馆,,053013793049,13793049506
鸿源宾馆,,15653079699,
丽都商务宾馆,,15953049788,
东方明珠商务酒店,,05306393858,
侯家宾馆,,05306522575,
鑫源商务宾馆,,18954764989,
吴晗大酒店宾馆,,13774966657,
桃园客栈,,05306558181,
诚信宾馆,,15063460081,
龙锦商务宾馆,,05306158885,
利民旅馆,,05306527076,
水浒书画院宾馆,,05306589996,
张家招待所,,05306521567,
聚缘宾馆,,053013905405,13905405032
