姓,名,家庭手机,工作手机
家缘商务宾馆,,07106699699,
尚酷客栈（贾都店）,,07106225701,
金龙宾馆,,07106669003,
恒悦宾馆,,07106237290,18371095095
凤舞旅馆（大南街店）,,15308671788,
松鹤宾馆（光武北路店）,,15072224249,
红叶宾馆（襄阳路店）,,07106185866,13035242228
名臣酒店,,07106755666,
广场尚一特,,07106265999,
鑫苑宾馆,,13617205919,
石化宾馆,,07106355687,
毛恩住宿,,07106668789,
九鼎商务宾馆,,15897972678,
宏泰宾馆（南阳路店）,,07106238008,13597508166
金都快捷商务宾馆,,07106699198,6199567
东江宾馆（人民路店）,,07106331331,13797578919
梦园商务宾馆,,07106372288,
柏林宾馆,,18986321161,
尚一特连锁酒店（襄阳路交通局店）,,07106886789,
景诚商务宾馆,,07106185888,
金龙湾商务酒店,,07106336828,
姐弟宾馆,,07106181688,
枫韵商务酒店,,07106816666,
棘阳宾馆（大南街）,,07106222856,
东宝商务宾馆,,07106888599,
书香苑商务宾馆,,07106666988,
尚一特连锁酒店（人民路店）,,07106889999,
尚酷客栈（市老一医院店）,,07106186999,6673999
金旺角大酒店（客房）,,07106238366,
新兴网络会所,,13227550490,
帝皇商务会所,,07106662888,
好风景商务酒店,,07106616777,
野马宾馆,,13476370128,
洲际快捷酒店,,07106238238,
尚一特连锁酒店（汉城店）,,07106677888,
一特时尚酒店（酒厂店）,,07106655668,
丽景宾馆,,18671951679,
和盛商务酒店,,07106598888,
尚一特连锁酒店（书院街店）,,07106965999,
尚一特连锁酒店（新雅巷店）,,07106688669,15071521708
福星宾馆,,07106318567,
尚一特连锁酒店（政法街店）,,07106407788,6595888
皇朝商务宾馆,,07106214399,
汉宫玫瑰苑酒店,,07106777555,
大唐商务宾馆,,07106611777,
嘉禾大酒店,,07106811111,
得月楼宾馆,,07106755888,
枣阳博康大酒店,,07106324999,6596666
光彩商务宾馆,,07106808666,
金沙湾假日会所,,07106579999,
兰亭叙假日酒店,,07106665666,
豪景会所,,07106237666,
凯景时尚精品酒店,,07106782888,
江南假日酒店,,07106219999,
金鑫商务酒店,,15872217600,
汉城商务宾馆（沙店民营区店）,,07106339669,
罗曼蒂克主题酒店,,07106321314,17771012456
一米阳光艺术酒店,,07106665555,
鑫津宫酒店,,07106229922,6223822
尚一特连锁酒店（市标店）,,07106699789,
尚一特连锁酒店（清泉巷店）,,07106777111,
尚一特连锁酒店（李湾店）,,07106886666,
红叶宾馆（汽车站店）,,13035227499,
家兴商务宾馆,,13227517949,
金福来宾馆,,13972285556,
四季春天酒店,,07106406999,
碧水龙城商务酒店,,07106324222,
龙成宾馆,,13972233356,
豪悦大酒店,,07106777776,
松园商务酒店,,07106799087,
中百旅馆,,13339822802,
奎晟山庄,,07106662277,6662288
宏宇商务宾馆,,07106219798,
三三时尚精品酒店,,07106333339,6639999
汇缘宾馆（南阳路）,,18872560051,
金朝阳商务酒店,,07106351789,
银河宾馆,,07106316111,
中兴宾馆,,07106888079,18163560988
城市便捷酒店（枣阳光武路店）,,07106665333,
艾客精品酒店,,07106881959,17771018348
天水阁,,07106722999,
枣阳汉秀宫国际大酒店（原枣阳国际大酒店）,,07106699999,
东润旅社,,07106242268,
紫云阁,,07106222128,
金旺角·客房部（沿河路一桥北端店）,,07106238366,
汉城酒店,,07106677777,
东园宾馆,,07106232822,
浪波湾宾馆,,18995677006,
枣阳天美乐商务酒店,,07106228855,
宏丽宾馆,,07106166110,13774170139
鑫磊宾馆,,07106189999,
尚酷客栈（新华路店）,,07106633668,
天之一时尚精品酒店,,07106555557,
星辰酒店,,07106888188,
金园宾馆,,07106888518,
三禾假日酒店,,07106776777,
华夏宾馆,,07106222704,
六富聚旅馆,,15608674022,
汉宫宾馆,,07106518191,
红丽商务宾馆,,07106237333,
概念世家商务酒店,,07106218666,
西京商务宾馆,,18186261728,
博康商务养生会所,,15897996862,
王者归来足浴会所,,07106324846,
聚福楼酒店,,13871710429,
温馨宾馆,,07106239458,
中洲宾馆,,07106232268,
辰缘酒店,,18995663119,
名典时尚酒店,,07106956789,
丽景快捷宾馆,,07106401999,
