姓,名,家庭手机,工作手机
北山宾馆,,053183210215,18660119681
鑫源宾馆,,13791135959,15165102161
明镜宾馆,,13573130300,
恒8连锁酒店（唐人中心店）,,053183118588,
幸福宾馆,,15725123251,
玉鸿宾馆,,13021706198,
避风港宾馆,,15588808884,
梦思缘宾馆,,13869137258,15098859558
假日宾馆（章莱路店）,,15628839150,
521宾馆,,18888332521,18615213755
东方宾馆,,13220572621,
新悦宾馆（大学城店）,,13405416912,
广来宾馆,,053183276357,18615598281
竹清宾馆,,18615599362,
港湾宾馆,,15688887114,13156186825
庆学宾馆,,13287785039,18854183209
龙凤宾馆,,18660399806,
佳境宾馆,,13001721481,15169009127
金富宾馆（原爱丽舍宾馆）,,15966331932,
红禾谷主题宾馆,,053183728388,15275102755
喜洋洋宾馆,,053183321167,
文化中心宾馆,,053183228780,
桃园宾馆,,13906403466,
金泉宾馆,,13255315853,
家和宾馆,,13589061768,13964118422
城市空间主题宾馆,,053183114999,
海豚湾主题宾馆,,053183286788,
景有今世缘宾馆,,13864158852,13156187130
玉澜庭商务宾馆,,053183878858,15552887938
迎平宾馆,,053183318616,13969025586
永胜宾馆,,13518615285,
易佰连锁旅店（章丘百脉泉店）,,053183729788,
诚慷宾馆,,13854136630,
永泰宾馆,,053183721403,
九点半主题宾馆（原白夜主题宾馆）,,18615403320,
水郁蓝宾馆,,18866156028,
爱尚家客房（快捷店）,,053183250888,
章丘77商务宾馆（原港湾印象连锁酒店）,,053161321818,15550001991
芙蓉宾馆,,13698640335,
别居一阁客栈（大学城店）,,053183313768,15969699750
温馨宾馆（大学城店）,,053183116689,
家缘宾馆,,053180959242,
吉祥宾馆,,053183513260,15553185539
荷花客房,,053183386336,15589946691
鲁客88商务宾馆（秀水大街店）,,18363057118,15054197158
名城商务宾馆,,053183110666,
520公寓,,15098744411,
上城宾馆,,053183855777,
海豚湾主题宾馆（旗舰店）,,053183877799,
明东宾馆,,053181293866,18560103933
钰泉湖宾馆,,15562654757,13793111163
怡心商务宾馆,,13953168192,13805419932
尚客优快捷酒店（章丘山泉路百脉泉南门店）,,053183875577,
百脉商务宾馆,,053181297777,
尚客优快捷酒店（章丘百脉泉店）,,053183610088,
锦江之星（济南章丘汇泉路店）,,053180955999,
银座佳驿（济南章丘市经十东路大学城店）,,053183118555,
丹穗快捷酒店,,053183296678,
兆源商务酒店,,053183110888,
7天连锁酒店（济南章丘百脉泉公园北门店）,,053183660777,
驿程连锁酒店（双山大街店）,,053180952666,
城市空间,,13953188277,
银座佳驿（章丘车站大街百脉泉店）,,053183729666,
爱尚家客房（精品店）,,053183366966,
梦之蓝宾馆,,15666409568,15508638959
绿沁园宾馆,,13906441028,13869121890
尚客优快捷酒店（章丘百脉泉东门圣水文化城店）,,053183774567,
泊客商务宾馆,,053183388666,
百脉明珠酒店,,053158672666,
艾米主题公寓,,15165131427,
济南宏兴宾馆,,13853122206,
