姓,名,家庭手机,工作手机
昆仑雅居度假酒店（静泊山庄萃英楼）,,037162328666,62328500
尚客快捷宾馆,,037156788369,
东方圣典快捷酒店,,037186216688,
爱家宾馆,,13460627233,
普吉岛时尚酒店,,037162311777,
中江商务酒店（高铁站、方特店）,,037160218837,
敬叶酒店,,037160868886,15136483666
诚誉快捷宾馆,,037162181386,15238359449
勇利花园假日酒店（万邦店）,,037153631588,53631599
金鑫快捷酒店,,037162162123,
亿霖快捷酒店,,037162288555,
清雅商务酒店（方特绿博园店）,,037162198999,
八九公寓,,18939261865,15890320903
大裕宾馆,,037162383777,
乐居时尚公寓,,18639008680,
紫豪快捷酒店,,037156791070,
农机宾馆,,037162118766,
温馨旅馆,,15093199815,
潘安快捷宾馆,,037185308111,
吉祥宾馆,,18737127206,
祥和宾馆,,037162361029,18037498956
万发商务酒店（万邦店）,,037156053000,60214440
蓝溪宾馆,,037156666631,
方舟公寓,,15238005615,
龙泽宾馆,,18135686029,
九州公寓,,037155956771,
艾菲尔主题宾馆,,17719970664,
银河公寓,,037160191986,18939265126
春风快捷公寓,,037155987933,
蝶语轩旅馆,,037160217791,
小时光公寓,,037156786822,15649052666
零点相依宾馆（建安路店）,,037160219921,
雅居宾馆,,17729798548,13333833504
润之新商务酒店,,037162271818,56159688
一帆快捷酒店（建设路店）,,037160211118,
好宜家宾馆,,15638651891,
艾美特时尚酒店,,037187086888,
青果时尚酒店,,037155987277,
导航商务酒店,,037162372333,60160102
天地休闲大酒店,,037162170888,
冠豪快捷酒店（中牟店）,,037160218880,
东润快捷酒店（中牟方特绿博园店）,,037153630789,60214877
开元宾馆（白沙镇店）,,037162362669,13503996309
吉祥宾馆（豫康宿舍店）,,037185966229,
百合快捷宾馆,,037160217898,
爱尚家时尚酒店,,037161085999,
豫康快捷宾馆,,037155987793,18135774390
中原人家温泉酒店,,037162196111,62283666
好运快捷宾馆,,13838567784,
金梧桐商务宾馆,,037162110211,
金程快捷宾馆,,037162129551,
白天鹅酒店,,037155987465,
品悦商务酒店,,037155175777,
尚客优连锁酒店（方特绿博园店）,,037162251666,62252666
金三角快捷宾馆,,13613825838,
鑫源宾馆,,18537701926,
金源快捷酒店,,037155987289,
卡琪主题酒店,,15138989250,15939035656
旺角宾馆,,037162035111,
银鑫快捷酒店,,037162332222,
长御快捷宾馆,,037156782123,
相约酒店,,037186587266,
君悦商务酒店,,037162382111,
朗思特风尚酒店,,037162112220,62156780
鸿运宾馆,,037155297989,15729236509
豫龙轩商务酒店,,037160216609,13400005535
